| Name    |   Mean |   Std |   Mode |    + |    - |   68CI- |   68CI+ |   95CI- |   95CI+ |   N_Eff |   R_hat |
|:--------|-------:|------:|-------:|-----:|-----:|--------:|--------:|--------:|--------:|--------:|--------:|
| mu      |   7.67 |  5.22 |   8.43 | 4.05 | 5.78 |    2.65 |   12.49 |   -2.68 |   18.00 |    1248 |    1.00 |
| tau     |   6.40 |  5.56 |   2.16 | 5.44 | 2.14 |    0.02 |    7.60 |    0.00 |   17.39 |    1335 |    1.00 |
| eta.1   |   0.39 |  0.94 |   0.31 | 1.13 | 0.74 |   -0.43 |    1.44 |   -1.49 |    2.23 |    3195 |    1.00 |
| eta.2   |   0.01 |  0.90 |   0.03 | 0.84 | 0.88 |   -0.85 |    0.88 |   -1.81 |    1.83 |    3888 |    1.00 |
| eta.3   |  -0.19 |  0.94 |  -0.05 | 0.68 | 1.15 |   -1.20 |    0.63 |   -2.08 |    1.76 |    3890 |    1.00 |
| eta.4   |  -0.01 |  0.90 |  -0.06 | 0.93 | 0.82 |   -0.88 |    0.87 |   -1.80 |    1.85 |    3445 |    1.00 |
| eta.5   |  -0.32 |  0.89 |  -0.40 | 0.85 | 0.89 |   -1.29 |    0.46 |   -2.10 |    1.48 |    3277 |    1.00 |
| eta.6   |  -0.20 |  0.89 |  -0.17 | 0.82 | 0.89 |   -1.06 |    0.65 |   -1.91 |    1.69 |    3387 |    1.00 |
| eta.7   |   0.36 |  0.91 |   0.42 | 0.79 | 0.96 |   -0.53 |    1.22 |   -1.52 |    2.20 |    3095 |    1.00 |
| eta.8   |   0.07 |  0.95 |   0.13 | 0.90 | 0.94 |   -0.81 |    1.03 |   -1.81 |    2.09 |    3809 |    1.00 |
| theta.1 |  11.17 |  8.13 |   8.35 | 7.85 | 6.37 |    1.98 |   16.20 |   -3.43 |   28.72 |    2895 |    1.00 |
| theta.2 |   7.79 |  6.35 |   8.08 | 5.72 | 5.83 |    2.25 |   13.80 |   -4.86 |   21.22 |    4908 |    1.00 |
| theta.3 |   6.11 |  7.72 |   7.09 | 7.02 | 6.19 |    0.90 |   14.10 |  -10.77 |   21.52 |    3511 |    1.00 |
| theta.4 |   7.62 |  6.49 |   8.13 | 5.36 | 6.73 |    1.40 |   13.49 |   -6.62 |   19.93 |    4622 |    1.00 |
| theta.5 |   5.12 |  6.40 |   5.80 | 5.53 | 6.57 |   -0.78 |   11.33 |   -8.75 |   17.10 |    3221 |    1.00 |
| theta.6 |   6.11 |  6.61 |   7.45 | 5.85 | 6.21 |    1.24 |   13.30 |   -7.93 |   19.21 |    3436 |    1.00 |
| theta.7 |  10.45 |  6.72 |   9.37 | 6.17 | 6.44 |    2.93 |   15.54 |   -2.19 |   24.83 |    4114 |    1.00 |
| theta.8 |   8.42 |  7.88 |   7.25 | 8.14 | 5.51 |    1.74 |   15.39 |   -7.28 |   26.94 |    3831 |    1.00 |
