Name,Mean,Std,Mode,+,-,68CI-,68CI+,95CI-,95CI+,N_Eff,R_hat
mu,8.1413279435725,5.136292000090643,7.74661,4.9248899999999995,4.617980000000001,3.12863,12.6715,-2.23759,18.1302,1617.0,1.00129
tau,6.652442223405,5.779216587085713,2.73563,5.209619999999999,2.72667848,0.00895152,7.94525,0.00156239,17.8674,1446.0,0.999793
eta.1,0.39346157467150006,0.9397398344735418,0.38052,0.9869000000000001,0.84804,-0.46752,1.36742,-1.64747,2.14816,3494.0,1.00078
eta.2,-0.013456686804125007,0.8609257674395234,0.00711415,0.8106118499999999,0.89452115,-0.887407,0.817726,-1.67674,1.75535,3810.0,1.00013
eta.3,-0.21019307918785,0.9255400659372955,-0.413957,1.156997,0.6165630000000001,-1.03052,0.74304,-2.04678,1.69121,3240.0,1.0010299999999999
eta.4,-0.042424799817649995,0.8998151514981463,0.048611,0.799898,0.910137,-0.861526,0.848509,-1.80878,1.93984,3590.0,0.999783
eta.5,-0.3786167364475,0.8843488477137016,-0.240746,0.620516,1.127634,-1.36838,0.37977,-2.1636,1.37577,3398.0,1.00007
eta.6,-0.22632840632275,0.8983730369547368,-0.192174,0.732453,1.036216,-1.22839,0.540279,-1.9215,1.64156,3611.0,1.0001
eta.7,0.31982130020149996,0.8715327473699588,0.243884,0.885246,0.803912,-0.560028,1.12913,-1.51712,2.00617,3291.0,1.00044
eta.8,0.0338744519085,0.9079042524073903,-0.0630313,1.0004993,0.7672667,-0.830298,0.937468,-1.84941,1.84505,3882.0,0.999827
theta.1,11.598167512756248,8.450783304963743,8.82092,8.259480000000002,5.948479999999999,2.87244,17.0804,-3.27088,30.3833,2397.0,1.00106
theta.2,7.9874648749275,6.119501034160077,7.58015,5.84205,5.47516,2.10499,13.4222,-4.4427,21.093,4709.0,1.00061
theta.3,6.296135292000001,7.598998363638742,7.11109,6.364310000000001,7.0113739,0.0997161,13.4754,-9.09357,22.0148,3379.0,1.00035
theta.4,7.580651389914999,6.503222524287626,8.08158,5.384919999999999,6.51942,1.56216,13.4665,-5.62832,21.4104,4149.0,0.9999379999999999
theta.5,5.096355745678751,6.466310956732169,6.85693,5.199870000000001,6.722113,0.134817,12.0568,-8.067,17.9457,4107.0,0.999865
theta.6,6.15350775902,6.712436357351842,6.82958,6.072419999999999,6.17377,0.65581,12.902,-8.72164,18.829,4000.0,0.9999129999999999
theta.7,10.773456510699999,6.915890737444123,8.54977,7.44153,5.073860000000001,3.47591,15.9913,-1.26775,26.134,2795.0,0.999986
theta.8,8.43295236836,7.846843729378393,8.0763,6.289200000000001,6.9522699999999995,1.12403,14.3655,-7.3265,24.9212,2789.0,0.9997530000000001
