| Name    |   Mean |   Std |   Mode |    + |    - |   68CI- |   68CI+ |   95CI- |   95CI+ |   N_Eff |   R_hat |
|:--------|-------:|------:|-------:|-----:|-----:|--------:|--------:|--------:|--------:|--------:|--------:|
| mu      |   7.82 |  5.04 |   7.95 | 4.99 | 4.69 |    3.26 |   12.93 |   -3.11 |   17.35 |    1764 |    1.00 |
| tau     |   7.05 |  5.98 |   3.02 | 5.38 | 3.00 |    0.02 |    8.40 |    0.02 |   18.00 |    1003 |    1.00 |
| eta.1   |   0.42 |  0.90 |   0.46 | 0.88 | 0.88 |   -0.42 |    1.33 |   -1.50 |    2.14 |    4028 |    1.00 |
| eta.2   |   0.00 |  0.86 |   0.00 | 0.86 | 0.80 |   -0.79 |    0.86 |   -1.74 |    1.78 |    3588 |    1.00 |
| eta.3   |  -0.21 |  0.90 |  -0.25 | 0.88 | 0.85 |   -1.10 |    0.62 |   -2.16 |    1.55 |    4151 |    1.00 |
| eta.4   |  -0.03 |  0.89 |  -0.05 | 1.00 | 0.74 |   -0.80 |    0.95 |   -1.72 |    1.94 |    4241 |    1.00 |
| eta.5   |  -0.37 |  0.86 |  -0.35 | 0.71 | 0.98 |   -1.33 |    0.36 |   -2.14 |    1.38 |    3799 |    1.00 |
| eta.6   |  -0.23 |  0.86 |  -0.15 | 0.73 | 0.93 |   -1.07 |    0.58 |   -1.92 |    1.58 |    3963 |    1.00 |
| eta.7   |   0.38 |  0.86 |   0.29 | 0.99 | 0.67 |   -0.39 |    1.28 |   -1.38 |    2.07 |    3177 |    1.00 |
| eta.8   |   0.08 |  0.92 |   0.13 | 0.78 | 1.08 |   -0.94 |    0.92 |   -1.66 |    2.00 |    4404 |    1.00 |
| theta.1 |  11.62 |  8.21 |  10.27 | 6.62 | 8.08 |    2.18 |   16.88 |   -2.90 |   29.73 |    2448 |    1.00 |
| theta.2 |   7.90 |  6.46 |   7.96 | 5.70 | 6.12 |    1.85 |   13.66 |   -4.87 |   21.85 |    3579 |    1.00 |
| theta.3 |   5.90 |  7.81 |   6.94 | 6.51 | 6.97 |   -0.03 |   13.45 |  -10.97 |   22.25 |    3238 |    1.00 |
| theta.4 |   7.62 |  6.74 |   7.62 | 6.39 | 5.97 |    1.65 |   14.02 |   -6.96 |   21.35 |    3924 |    1.00 |
| theta.5 |   4.78 |  6.44 |   6.81 | 4.49 | 7.52 |   -0.72 |   11.30 |   -9.19 |   16.90 |    4691 |    1.00 |
| theta.6 |   5.93 |  6.78 |   6.57 | 5.96 | 6.41 |    0.16 |   12.54 |   -8.00 |   19.54 |    3687 |    1.00 |
| theta.7 |  10.96 |  6.75 |   9.58 | 6.36 | 6.09 |    3.49 |   15.95 |   -1.82 |   25.41 |    3339 |    1.00 |
| theta.8 |   8.47 |  7.87 |   7.81 | 7.55 | 6.09 |    1.72 |   15.36 |   -7.73 |   25.66 |    3404 |    1.00 |
