Name,Mean,Std,Mode,+,-,68CI-,68CI+,95CI-,95CI+,N_Eff,R_hat
mu,7.875685737182501,4.900516815485018,7.08808,5.4568200000000004,4.2341999999999995,2.85388,12.5449,-1.46385,18.1879,2438.0,0.999664
tau,6.57518584187,5.644409638937388,2.16123,5.72353,2.1584466,0.0027834,7.88476,0.0027834,17.4403,1394.0,1.00305
eta.1,0.401379900697,0.93956976556763,0.455097,0.891873,0.944,-0.488903,1.34697,-1.45864,2.32263,3811.0,0.9997799999999999
eta.2,-0.005261626040724999,0.8768714847883246,-0.0487062,0.8355762,0.8571518,-0.905858,0.78687,-1.82391,1.7623,4484.0,0.9994059999999999
eta.3,-0.15922597292222498,0.9369356467705974,-0.081464,0.8342809999999999,1.021866,-1.10333,0.752817,-2.07467,1.65023,4558.0,0.999589
eta.4,-0.0383004656025,0.8885770947192025,0.0205887,0.7750492999999999,0.9287077,-0.908119,0.795638,-1.96385,1.70714,3849.0,0.9994780000000001
eta.5,-0.3576202210305,0.8563198947898099,-0.337138,0.699249,0.9720120000000001,-1.30915,0.362111,-2.04809,1.39014,2882.0,1.0008
eta.6,-0.22689710161704998,0.8865688032498339,-0.358525,1.051812,0.6855549999999999,-1.04408,0.693287,-1.85325,1.68395,4052.0,0.999558
eta.7,0.3603560634535,0.8630256115169546,0.471446,0.7455639999999999,0.910192,-0.438746,1.21701,-1.28812,2.14103,3743.0,0.99997
eta.8,0.05309544830675001,0.9248689101515261,-0.0977585,1.0588965000000001,0.7123645000000001,-0.810123,0.961138,-1.77231,1.96937,4254.0,0.99992
theta.1,11.345659282865,8.206966063963108,8.35156,8.18374,6.267999999999999,2.08356,16.5353,-3.77578,29.767,2938.0,0.9995799999999999
theta.2,7.7775051290825,6.219465746747673,7.64625,6.00985,5.56353,2.08272,13.6561,-5.72446,19.611,4301.0,0.999458
theta.3,6.29733871248,7.7669899146212815,6.01698,7.500119999999999,5.851571,0.165409,13.5171,-10.442,22.5012,3666.0,0.9995860000000001
theta.4,7.578324938015,6.5689990806177025,7.73603,6.02307,5.98209,1.75394,13.7591,-6.9921,20.3028,4190.0,0.999085
theta.5,5.12332488411,6.378992700205395,6.13098,5.31962,6.926135,-0.795155,11.4506,-7.81326,17.2584,3730.0,1.0005
theta.6,6.021430510479999,6.6529562302753655,6.99414,6.68046,5.67036,1.32378,13.6746,-8.26988,19.1757,4023.0,0.999682
theta.7,10.670824157410575,6.714886761250085,8.6411,6.8055,5.59102,3.05008,15.4466,-2.50076,24.2834,3253.0,1.00047
theta.8,8.4619549592925,7.702341799449327,7.50974,7.08486,6.19712,1.31262,14.5946,-6.57745,26.1702,4044.0,0.999663
