| Name    |   Mean |   Std |   Mode |    + |    - |   68CI- |   68CI+ |   95CI- |   95CI+ |   N_Eff |   R_hat |
|:--------|-------:|------:|-------:|-----:|-----:|--------:|--------:|--------:|--------:|--------:|--------:|
| mu      |   8.22 |  5.08 |   8.57 | 4.79 | 5.06 |    3.51 |   13.36 |   -2.27 |   18.01 |    1914 |    1.00 |
| tau     |   6.41 |  5.47 |   2.71 | 4.86 | 2.69 |    0.02 |    7.57 |    0.00 |   16.99 |    1670 |    1.00 |
| eta.1   |   0.36 |  0.97 |   0.53 | 0.75 | 1.15 |   -0.62 |    1.29 |   -1.52 |    2.41 |    4116 |    1.00 |
| eta.2   |  -0.01 |  0.87 |   0.17 | 0.71 | 0.98 |   -0.81 |    0.88 |   -1.83 |    1.64 |    3865 |    1.00 |
| eta.3   |  -0.20 |  0.94 |  -0.17 | 0.92 | 0.99 |   -1.16 |    0.76 |   -2.01 |    1.71 |    4835 |    1.00 |
| eta.4   |  -0.04 |  0.87 |  -0.10 | 0.88 | 0.82 |   -0.92 |    0.78 |   -1.85 |    1.74 |    4540 |    1.00 |
| eta.5   |  -0.36 |  0.86 |  -0.38 | 0.91 | 0.79 |   -1.17 |    0.53 |   -2.05 |    1.35 |    3780 |    1.00 |
| eta.6   |  -0.23 |  0.90 |  -0.26 | 0.88 | 0.86 |   -1.12 |    0.62 |   -2.08 |    1.62 |    4015 |    1.00 |
| eta.7   |   0.33 |  0.90 |   0.29 | 0.94 | 0.81 |   -0.51 |    1.23 |   -1.54 |    2.02 |    4093 |    1.00 |
| eta.8   |   0.06 |  0.94 |  -0.12 | 1.19 | 0.68 |   -0.79 |    1.07 |   -1.81 |    1.90 |    4413 |    1.00 |
| theta.1 |  11.27 |  8.51 |  10.04 | 6.18 | 8.07 |    1.97 |   16.22 |   -4.96 |   30.47 |    2885 |    1.00 |
| theta.2 |   8.14 |  6.30 |   8.48 | 5.39 | 6.46 |    2.02 |   13.87 |   -4.06 |   21.24 |    4175 |    1.00 |
| theta.3 |   6.46 |  7.73 |   7.77 | 6.45 | 7.00 |    0.77 |   14.22 |   -9.24 |   23.08 |    3182 |    1.00 |
| theta.4 |   7.80 |  6.53 |   6.97 | 6.51 | 5.75 |    1.22 |   13.48 |   -5.59 |   21.14 |    4555 |    1.00 |
| theta.5 |   5.43 |  6.31 |   7.27 | 5.09 | 7.04 |    0.23 |   12.36 |   -7.83 |   17.36 |    4413 |    1.00 |
| theta.6 |   6.36 |  6.63 |   6.87 | 5.80 | 6.79 |    0.09 |   12.67 |   -6.78 |   20.27 |    4126 |    1.00 |
| theta.7 |  10.70 |  6.79 |   9.69 | 6.15 | 6.29 |    3.40 |   15.85 |   -1.05 |   26.45 |    3605 |    1.00 |
| theta.8 |   8.59 |  7.81 |   8.33 | 6.53 | 7.26 |    1.07 |   14.86 |   -7.13 |   25.09 |    4040 |    1.00 |
